N,a,v,t,T_obs,M_obs,V_obs
10,1.0844344989262926,1.4238734329913636,0.24167881896893248,8,0.5547656934293872,0.03900323060757937
10,0.7949464458545823,1.666482076395845,0.46289602845563915,7,0.5231735584231502,0.05986218565866767
10,1.2654311313648168,1.2543146762940038,0.41329171077768045,10,0.8364224019924387,0.03327220193713597
10,1.3654225194048712,1.5953135670754022,0.10516347916485445,10,0.430537649115568,0.12950766934743704
10,1.6287484238267778,1.3256229122086096,0.13770658708584618,10,0.5139547886487574,0.3235491751035427
10,1.0943030529605775,0.8874203795903628,0.27549571960913566,5,0.6732143217126754,0.426185791102533
10,0.9525844421368874,1.9090982864335861,0.432902365593025,7,0.5714373234867153,0.05955262826407643
10,1.1342258351397498,0.8163319897910459,0.4266954436550675,9,0.7074801234565357,0.45542108491641997
10,1.5545947927915267,1.9327670593460269,0.2980937388072554,9,0.7771368047354329,0.032157722956265095
10,1.9022910893500156,0.7055902139646062,0.35025621011649144,7,1.2698690272765232,0.9028445216480547
10,0.7528042172109742,1.3618816961321154,0.2228964846429216,7,0.2830582898877432,0.09354593077533696
10,1.953621879990498,0.652396808222095,0.2631578589974296,7,1.2606725955858926,0.5832303103827855
10,0.6520926646058853,1.2666425691585017,0.49460090118325206,5,0.7856528908861635,0.07476611176542604
10,1.1521568149924073,1.6144368210580742,0.49199618881787077,10,0.7248182667135054,0.03269302655894822
10,0.6243970144297581,0.5655290820797578,0.3751055741026098,5,0.35167904434810165,0.7002312046452683
10,1.5827865923378264,0.9527643253325176,0.4107387143176807,9,0.9394583247553665,0.4273423988011251
10,0.9781351125309481,1.5470820409555501,0.1527973165468971,9,0.38283018566819266,0.040655884230342824
10,0.8797450968185226,1.3014053690871155,0.19132810408082424,5,0.3330556220556693,0.01983032717238635
10,0.850700875030654,1.46772516872629,0.20420878935915643,9,0.3150553167458882,0.07644699995581597
10,1.7491287513559408,1.3760644606012338,0.22999961549267806,10,0.833527440800893,0.13277851539167668
10,1.2848896476445248,1.8284575988247942,0.42665743828370706,10,0.7847149155777285,0.09252510335930067
10,1.289645647513258,1.6605245293150395,0.12091084354912769,10,0.4262735026939407,0.07946556380627808
10,0.548716809536659,1.085354388302492,0.13390007002770524,5,0.02200519384387664,0.12345700299377119
10,0.5090626592849128,1.1922535394374745,0.3879340946937352,5,0.4403655168954989,0.10297994130865545
10,0.5977326198477408,1.7843332490458415,0.12366441298768334,8,0.16388645690668907,0.0693276173679442
10,0.9381805935965325,0.8309686255664837,0.2772187797146667,6,0.4196373934891767,0.45630608790803423
10,0.896021202365342,1.057810824642458,0.2713271978655356,7,0.5167111677695942,0.10590054466469181
