N,v_est,a_est,tau_est
10.0,1.34677384430482,0.9086718136063935,0.3707558935828983
10.0,0.5,1.524280104093793,0.1
10.0,2.0,1.522261218861712,0.49045394316023144
10.0,2.0,1.522261218861712,0.1
10.0,1.7418853184262686,1.747831734682764,0.1
10.0,0.5,0.5,0.5
10.0,0.5,1.524280104093793,0.1
10.0,0.7699201075930866,2.0,0.1
10.0,2.0,0.9229133452491655,0.5
10.0,0.5,1.524280104093793,0.5
10.0,0.5,1.524280104093793,0.1
10.0,0.5,1.524280104093793,0.5
10.0,0.5,0.5,0.5
10.0,2.0,1.522261218861712,0.37884980788129813
10.0,0.5,0.5,0.28950254346230353
10.0,0.7948116735233438,2.0,0.10765598705111168
10.0,2.0,0.9229133452491655,0.2150277592592534
10.0,0.5,0.5,0.27087912116987123
10.0,1.879195679848333,0.9822429405793999,0.12498503564104382
10.0,2.0,1.522261218861712,0.4875589819686858
10.0,2.0,1.522261218861712,0.4387464567455213
10.0,2.0,1.522261218861712,0.1
10.0,0.5,0.5,0.1
10.0,0.5,0.5,0.3781890160097008
10.0,1.0101638586438855,1.2114623000519906,0.1
10.0,0.5,0.735449560250635,0.28591929162542484
10.0,0.5,1.524280104093793,0.1
10.0,0.5,2.0,0.4235903707078338
10.0,0.5,0.735449560250635,0.5
10.0,2.0,1.522261218861712,0.24002334396803388
10.0,0.6681728227974127,1.1406331207187907,0.21890912896279324
10.0,2.0,1.522261218861712,0.5
10.0,0.7219786726220389,1.695029892195681,0.1
10.0,1.4572651248864419,1.2666375246180188,0.1
10.0,2.0,1.522261218861712,0.3775154916995966
10.0,0.5,0.735449560250635,0.5
10.0,0.5,1.524280104093793,0.1
10.0,0.5,2.0,0.24271781217537114
10.0,0.5,0.5,0.5
10.0,2.0,1.522261218861712,0.1
10.0,0.6903844283577231,2.0,0.1
10.0,0.5,1.524280104093793,0.44257671904044416
10.0,0.5,1.524280104093793,0.1
10.0,1.111623922973145,2.0,0.1
10.0,1.8018956946662004,0.6791599731575022,0.43418044895016117
10.0,0.5,0.5,0.26879098236952126
10.0,0.5002793520846816,1.5234289579832392,0.1
10.0,0.6056540894350517,2.0,0.16132520665079364
10.0,0.5,0.735449560250635,0.2919718473703942
10.0,0.7269580335096988,1.6834196407649828,0.5
10.0,0.5,1.524280104093793,0.3502316443771314
10.0,2.0,0.9229133452491655,0.5
10.0,0.5,2.0,0.1
10.0,0.5980786858328555,2.0,0.1
10.0,0.9867696501301271,1.240183493139188,0.37059793730269314
10.0,0.5,2.0,0.1
10.0,1.660349102461077,1.1117099938575128,0.4138418906759555
10.0,0.5,0.735449560250635,0.5
10.0,0.5,2.0,0.1
10.0,0.5,2.0,0.1
10.0,2.0,1.522261218861712,0.5
10.0,1.1289019206100332,1.0840405258242582,0.1
10.0,1.3764596882006037,1.3409958216148805,0.46266398007451975
10.0,0.5,0.5,0.3469178233219258
10.0,0.5,1.524280104093793,0.1
10.0,2.0,0.9229133452491655,0.5
10.0,0.9176299635733224,2.0,0.1
10.0,0.5,0.5,0.5
10.0,0.5,0.735449560250635,0.5
10.0,0.5664628612156666,2.0,0.1
10.0,0.6402759281557646,1.9113250675330693,0.1
10.0,0.5,1.524280104093793,0.14865115561337583
10.0,0.5,1.524280104093793,0.1
10.0,1.223063169975094,1.509183446784616,0.148929855481296
10.0,0.5,2.0,0.1
10.0,2.0,1.522261218861712,0.46297570477924826
10.0,1.2097965337493213,1.5257331617390795,0.4450097825781516
10.0,1.895308962418167,1.606346246492187,0.5
10.0,0.6599978923481318,1.8542111206873455,0.1
10.0,0.5,2.0,0.5
10.0,0.8123096377991853,1.5065381163489906,0.23756561102575957
10.0,0.7155886833910715,2.0,0.42438460653029364
10.0,0.5,1.524280104093793,0.1
10.0,0.9407731946215347,1.9620315513356985,0.1812359935776584
10.0,0.5,1.524280104093793,0.1
10.0,1.5797416023625999,1.9272281195672476,0.5
10.0,2.0,1.522261218861712,0.2350275982988212
10.0,0.7275660168366456,1.682012907836073,0.1
10.0,2.0,0.9229133452491655,0.39267863210292253
10.0,0.5,0.735449560250635,0.3992905297459647
10.0,0.8493696411017636,1.4408043005100697,0.1
10.0,0.5,2.0,0.1
10.0,1.597518415318159,1.155433748243033,0.3448930428325281
10.0,0.5,1.524280104093793,0.4542822558339542
10.0,0.5,0.5,0.31519131785534404
10.0,0.5,1.524280104093793,0.1
10.0,2.0,1.522261218861712,0.23147958955672204
10.0,0.5,2.0,0.1
10.0,0.5,2.0,0.1
10.0,2.0,1.522261218861712,0.32420758710615977
10.0,0.5156500578977418,2.0,0.1
10.0,0.7118944704513352,1.7190405072907111,0.1
10.0,0.5,0.735449560250635,0.241315820457629
10.0,0.5,2.0,0.1227140342820513
10.0,1.152114132912042,1.6021213851729137,0.1
10.0,1.628942973877294,1.1331438362785649,0.3473435158900835
10.0,0.5,2.0,0.1
10.0,0.5,1.524280104093793,0.1
10.0,0.5,2.0,0.1
10.0,0.5,2.0,0.1
10.0,0.5,2.0,0.1
10.0,0.5,2.0,0.1
10.0,0.7106873234998593,1.7219604053094635,0.1
10.0,2.0,1.522261218861712,0.5
10.0,2.0,1.522261218861712,0.5
10.0,0.5,2.0,0.1
10.0,2.0,0.9229133452491655,0.5
10.0,0.8426989866898452,2.0,0.1
10.0,0.5,0.735449560250635,0.5
10.0,1.1398906502697517,1.6193015444608845,0.22951322529836005
10.0,1.47549533027202,1.2509878226168545,0.30213380295719383
10.0,0.5,2.0,0.1
10.0,2.0,1.522261218861712,0.1
10.0,0.5499596572585708,2.0,0.1
10.0,0.5,1.524280104093793,0.1
10.0,0.5,1.524280104093793,0.1
10.0,1.5021410810859086,2.0,0.1
10.0,0.5,0.735449560250635,0.5
10.0,1.8536773934162694,1.6424230281583487,0.3821163557701314
10.0,1.0948068251398615,2.0,0.1
10.0,2.0,1.522261218861712,0.21504861447010998
10.0,2.0,1.522261218861712,0.5
10.0,0.5,2.0,0.5
10.0,1.352369379921186,1.3648835280534841,0.2687525354310811
10.0,0.5,2.0,0.1
10.0,2.0,1.522261218861712,0.5
